Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 
22001.00 1330.89 100.138985 0.000000 57.742645 4.488541 20.017160 15.417235 0.000000 0.000000 2.473403 
21901.00 1330.61 100.138985 0.000000 57.711780 4.340053 20.121708 15.459703 0.000000 0.000000 2.505741 
21801.00 1330.34 100.138985 0.000000 57.680011 4.187920 20.228801 15.503230 0.000000 0.000000 2.539022 
21701.00 1330.06 100.138985 0.000000 57.647304 4.032013 20.338532 15.547855 0.000000 0.000000 2.573281 
21601.00 1329.78 100.138985 0.000000 57.613623 3.872191 20.450994 15.593621 0.000000 0.000000 2.608556 
21501.00 1329.50 100.138985 0.000000 57.578928 3.708310 20.566289 15.640570 0.000000 0.000000 2.644887 
21401.00 1329.22 100.138985 0.000000 57.543181 3.540218 20.684519 15.688750 0.000000 0.000000 2.682315 
21301.00 1328.94 100.138985 0.000000 57.506339 3.367755 20.805796 15.738209 0.000000 0.000000 2.720885 
21201.00 1328.65 100.138985 0.000000 57.468359 3.190753 20.930234 15.788998 0.000000 0.000000 2.760641 
21101.00 1328.37 100.138985 0.000000 57.429193 3.009037 21.057952 15.841170 0.000000 0.000000 2.801632 
21001.00 1328.08 100.138985 0.000000 57.388794 2.822421 21.189079 15.894782 0.000000 0.000000 2.843909 
20901.00 1327.78 100.138985 0.000000 57.347110 2.630711 21.323745 15.949894 0.000000 0.000000 2.887524 
20801.00 1327.49 100.138985 0.000000 57.304088 2.433703 21.462091 16.006569 0.000000 0.000000 2.932534 
20701.00 1327.19 100.138985 0.000000 57.259670 2.231181 21.604262 16.064873 0.000000 0.000000 2.978997 
20601.00 1326.89 100.138985 0.000000 57.213798 2.022921 21.750413 16.124877 0.000000 0.000000 3.026976 
20501.00 1326.59 100.138985 0.000000 57.166408 1.808683 21.900705 16.186653 0.000000 0.000000 3.076536 
20401.00 1326.29 100.138985 0.000000 57.117434 1.588217 22.055308 16.250281 0.000000 0.000000 3.127745 
20301.00 1325.98 100.138985 0.000000 57.066807 1.361259 22.214400 16.315842 0.000000 0.000000 3.180676 
