Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
3601.00 1198.13 2.722331 6.302671 -32136.705853 0.713505 3.283245 Fe''0.15Mg0.86Fe'''0.06Al1.49Cr0.44Ti0.01O4 0 0.540213 47.3642 2.86733 20.7005 6.94044 0 21.5872 0 0 0
3501.00 1197.03 2.701042 6.249168 -31857.898721 0.707611 3.255639 Fe''0.15Mg0.86Fe'''0.06Al1.48Cr0.44Ti0.01O4 0 0.536565 47.2139 2.88463 20.8571 6.93452 0 21.5733 0 0 0
3401.00 1195.93 2.679417 6.194864 -31574.307678 0.701621 3.227597 Fe''0.15Mg0.86Fe'''0.06Al1.48Cr0.44Ti0.01O4 0 0.532803 47.0587 2.90208 21.0189 6.92887 0 21.5587 0 0 0
3301.00 1194.82 2.657331 6.139461 -31284.168538 0.695502 3.198954 Fe''0.15Mg0.86Fe'''0.06Al1.47Cr0.45Ti0.01O4 0 0.528958 46.8975 2.91979 21.1871 6.92359 0 21.5431 0 0 0
3201.00 1193.71 2.634631 6.082587 -30985.317660 0.689210 3.169512 Fe''0.15Mg0.86Fe'''0.06Al1.47Cr0.45Ti0.01O4 0 0.525057 46.7286 2.93794 21.3633 6.9188 0 21.5264 0 0 0
3101.00 1192.58 2.611135 6.023800 -30675.193253 0.682693 3.139031 Fe''0.15Mg0.86Fe'''0.06Al1.46Cr0.45Ti0.01O4 0 0.521126 46.5501 2.95672 21.5492 6.91466 0 21.5082 0 0 0
3001.00 1191.44 2.586633 5.962594 -30350.863934 0.675894 3.107239 Fe''0.15Mg0.86Fe'''0.06Al1.46Cr0.46Ti0.01O4 0 0.517181 46.3598 2.97634 21.747 6.91132 0 21.4883 0 0 0
2901.00 1190.38 2.555274 5.885028 -29928.175252 0.667156 3.066464 Fe''0.15Mg0.86Fe'''0.06Al1.45Cr0.47Ti0.01O4 0 0.516198 46.0972 3.00544 22.0083 6.91469 0 21.4582 0 0 0
2801.00 1189.39 2.515008 5.786160 -29377.924343 0.655902 3.014020 Fe''0.16Mg0.86Fe'''0.06Al1.44Cr0.47Ti0.01O4 0 0.518921 45.7369 3.04733 22.3556 6.92695 0 21.4143 0 0 0
2701.00 1188.35 2.471975 5.680553 -28788.942175 0.643869 2.957964 Fe''0.16Mg0.85Fe'''0.06Al1.43Cr0.48Ti0.01O4 0 0.521665 45.3395 3.09273 22.7393 6.94177 0 21.365 0 0 0
2601.00 1187.27 2.426065 5.567938 -28159.612238 0.631027 2.898151 Fe''0.16Mg0.85Fe'''0.06Al1.42Cr0.49Ti0.01O4 0 0.524436 44.9007 3.14209 23.1638 6.95955 0 21.3094 0 0 0
